Division,Existing district,Winner code,Winning party,Reform UK %,Reform UK votes,Conservative %,Conservative votes,Liberal Democrats %,Liberal Democrats votes,Labour %,Labour votes,Green %,Green votes,Minor %,Other %
Brereton & Ravenhill ED,Cannock Chase District,RFM,Reform UK,49.5%,1210,14.6%,358,0.0%,,19.0%,464,5.9%,144,11.0%,0.0%
Brewood ED,South Staffordshire,RFM,Reform UK,44.8%,1618,36.8%,1331,4.6%,168,10.3%,374,3.4%,124,0.0%,0.0%
Burntwood North ED,Lichfield District,RFM,Reform UK,51.8%,1888,21.8%,794,6.6%,241,19.8%,721,0.0%,,0.0%,0.0%
Burntwood South ED,Lichfield District,RFM,Reform UK,46.6%,1407,17.5%,529,4.8%,145,31.1%,939,0.0%,,0.0%,0.0%
Burton South ED,East Staffordshire Borough,RFM,Reform UK,47.4%,1062,24.6%,551,0.0%,,18.9%,423,9.2%,206,0.0%,0.0%
Burton Tower ED,East Staffordshire Borough,CON,Conservative,32.5%,1139,39.2%,1376,4.9%,173,18.6%,652,4.8%,169,0.0%,0.0%
Burton Town ED,East Staffordshire Borough,RFM,Reform UK,35.3%,685,16.5%,320,0.0%,,34.7%,672,13.5%,261,0.0%,0.0%
Burton Trent ED,East Staffordshire Borough,LAB,Labour,31.3%,766,15.4%,377,5.8%,143,41.7%,1021,5.9%,144,0.0%,0.0%
Cannock Town ED,Cannock Chase District,RFM,Reform UK,51.5%,1982,24.5%,942,0.0%,,15.1%,580,8.3%,318,0.8%,0.0%
Chadsmoor ED,Cannock Chase District,RFM,Reform UK,62.9%,2053,13.4%,436,3.1%,102,15.7%,512,4.9%,161,0.0%,0.0%
"Cheslyn Hay Village, Featherstone & Shareshill ED",South Staffordshire,RFM,Reform UK,50.6%,1685,30.6%,1020,3.1%,104,12.3%,409,3.4%,114,0.0%,0.0%
Codsall ED,South Staffordshire,CON,Conservative,33.2%,1067,40.9%,1317,8.7%,279,7.8%,250,8.7%,281,0.7%,0.0%
Dove ED,East Staffordshire Borough,CON,Conservative,33.4%,1081,43.7%,1414,0.0%,,11.6%,376,11.3%,364,0.0%,0.0%
Eccleshall & Gnosall ED,Stafford Borough,RFM,Reform UK,34.9%,1584,34.3%,1557,4.1%,187,7.5%,342,19.0%,863,0.0%,0.0%
Etching Hill & The Heath ED,Cannock Chase District,RFM,Reform UK,46.0%,1525,27.6%,915,0.0%,,15.0%,497,5.7%,188,5.7%,0.0%
Great Wyrley & Essington ED,South Staffordshire,RFM,Reform UK,49.6%,1679,31.6%,1068,3.5%,118,11.2%,380,4.1%,138,0.0%,0.0%
"Hawks Green, Rawnsley & Cannock Wood ED",Cannock Chase District,RFM,Reform UK,47.2%,1973,18.9%,789,2.3%,94,6.8%,286,23.1%,964,1.7%,0.0%
Hednesford North ED,Cannock Chase District,RFM,Reform UK,56.4%,2019,9.7%,348,0.0%,,11.8%,423,21.1%,754,1.0%,0.0%
Kinver ED,South Staffordshire,CON,Conservative,37.1%,1483,45.1%,1804,6.0%,240,7.3%,294,3.7%,150,0.8%,0.0%
Lichfield City North ED,Lichfield District,RFM,Reform UK,34.0%,1260,22.2%,821,11.8%,436,25.4%,941,6.7%,247,0.0%,0.0%
Lichfield City South ED,Lichfield District,CON,Conservative,26.3%,1002,29.1%,1109,15.4%,587,22.6%,862,6.7%,255,0.0%,0.0%
Lichfield Rural East ED,Lichfield District,RFM,Reform UK,38.8%,1197,31.0%,958,18.6%,575,11.6%,357,0.0%,,0.0%,0.0%
Lichfield Rural North ED,Lichfield District,CON,Conservative,32.2%,944,32.9%,964,10.5%,307,24.5%,719,0.0%,,0.0%,0.0%
Lichfield Rural South ED,Lichfield District,CON,Conservative,40.5%,1744,42.4%,1825,5.4%,232,11.6%,500,0.0%,,0.0%,0.0%
Lichfield Rural West ED,Lichfield District,RFM,Reform UK,42.1%,1586,38.6%,1455,3.9%,146,10.5%,397,4.9%,184,0.0%,0.0%
Needwood Forest ED,East Staffordshire Borough,CON,Conservative,36.5%,1281,37.3%,1312,8.6%,303,12.7%,447,4.9%,171,0.0%,0.0%
"Norton Canes, Heath Hayes & Wimblebury ED",Cannock Chase District,RFM,Reform UK,60.7%,2250,18.5%,685,0.0%,,15.6%,577,5.3%,196,0.0%,0.0%
Penkridge ED,South Staffordshire,RFM,Reform UK,37.6%,1438,22.5%,859,31.8%,1216,5.5%,212,2.6%,99,0.0%,0.0%
