"Household ID","Walk"
"502451648","AE1-1"
"500054628","AE1-1"
"500852591","AE1-1"
"500873547","AE1-1"
"500880068","AE1-1"
"500910944","AE1-1"
"500973615","AE1-1"
"501035702","AE1-1"
"501111466","AE1-1"
"501137303","AE1-1"
"500111597","AE1-1"
"501186238","AE1-1"
"501559899","AE1-1"
"501565656","AE1-1"
"501576873","AE1-1"
"501668743","AE1-1"
"501706275","AE1-1"
"501722439","AE1-1"
"501727161","AE1-1"
"501748261","AE1-1"
"501763361","AE1-1"
"501849540","AE1-1"
"501861962","AE1-1"
"501873442","AE1-1"
"501917730","AE1-1"
"501946391","AE1-1"
"501991928","AE1-1"
"502011983","AE1-1"
"502071422","AE1-1"
"502091284","AE1-1"
"500140703","AE1-1"
"502194935","AE1-1"
"502346676","AE1-1"
"502407405","AE1-1"
"502411503","AE1-1"
"500221870","AE1-1"
"500314165","AE1-1"
"500379465","AE1-1"
"500541450","AE1-1"
"500765235","AE1-1"
"502540292","AE1-1"
"502584436","AE1-1"
"502589120","AE1-1"
"502593598","AE1-1"
"502610315","AE1-1"
"502817893","AE1-1"
"504879015","AE1-1"
"504911701","AE1-1"
"513978532","AE1-1"
"504714713","AE1-1"
"504754692","AE1-1"
"504824814","AE1-1"
"509986506","AE1-1"
"517595176","AE1-1"
"517620246","AE1-1"
"517701285","AE1-1"
"517796140","AE1-1"
"517799325","AE1-1"
"517868299","AE1-1"
"518005535","AE1-1"
"514034503","AE1-1"
"502896602","AE1-1"
"507484389","AE1-1"
"506226562","AE1-1"
"506298514","AE1-1"
"506755909","AE1-1"
"506079324","AE1-1"
"502685837","AE1-1"
"502711031","AE1-1"
"506836612","AE1-1"
"506088050","AE1-1"
"514350260","AE1-1"
"508197739","AE1-1"
"507805298","AE1-1"
"514621781","AE1-1"
"514968558","AE1-1"
"514996860","AE1-1"
"506995582","AE1-1"
"502789798","AE1-1"
"508204562","AE1-1"
"507014668","AE1-1"
"507924150","AE1-1"
"515260203","AE1-1"
"508136936","AE1-1"
"508750792","AE1-1"
"502942798","AE1-1"
"503183122","AE1-1"
"507044980","AE1-1"
"507196327","AE1-1"
"506981177","AE1-1"
"503540687","AE1-1"
"503546168","AE1-1"
"513145599","AE1-1"
"517026258","AE1-1"
"503707635","AE1-1"
"507226536","AE1-1"
"503834013","AE1-1"
"507353438","AE1-1"
"503900327","AE1-1"
"504012041","AE1-1"
"504022921","AE1-1"
"504967703","AE1-1"
"516157815","AE1-1"
"516265429","AE1-1"
"516321012","AE1-1"
"516519491","AE1-1"
"505833710","AE1-1"
"507532258","AE1-1"
"507597479","AE1-1"
"504297625","AE1-1"
"504353177","AE1-1"
"508221178","AE1-1"
"507682140","AE1-1"
"508304017","AE1-1"
"507749542","AE1-1"
"508900364","AE1-1"
"508190296","AE1-1"
"509634734","AE1-1"
"505039653","AE1-1"
"506499791","AE1-1"
"506558743","AE1-1"
"508271566","AE1-1"
"504608565","AE1-1"
"504650586","AE1-1"
"508517097","AE1-2"
"504659039","AE1-2"
"504700185","AE1-2"
"516865672","AE1-2"
"508394331","AE1-2"
"503475147","AE1-2"
"513847952","AE1-2"
"513897274","AE1-2"
"513916483","AE1-2"
"511178067","AE1-2"
"509846715","AE1-2"
"509873985","AE1-2"
"510135237","AE1-2"
"514222792","AE1-2"
"514186348","AE1-2"
"517032949","AE1-2"
"517086714","AE1-2"
"517116544","AE1-2"
"517160347","AE1-2"
"517222503","AE1-2"
"517403291","AE1-2"
"517556063","AE1-2"
"511236826","AE1-2"
"513615649","AE1-2"
"514235218","AE1-2"
"514241441","AE1-2"
"509975586","AE1-2"
"510076052","AE1-2"
"510198088","AE1-2"
"513511566","AE1-2"
"514294480","AE1-2"
"509452558","AE1-2"
"505065950","AE1-2"
"505067646","AE1-2"
"515212224","AE1-2"
"506367508","AE1-2"
"505777877","AE1-2"
"510343256","AE1-2"
"514331411","AE1-2"
"505257777","AE1-2"
"514474426","AE1-2"
"512148907","AE1-2"
"512224379","AE1-2"
"502779352","AE1-2"
"514501539","AE1-2"
"511924577","AE1-2"
"514930183","AE1-2"
"509016010","AE1-2"
"504868220","AE1-2"
"511797998","AE1-2"
"512016938","AE1-2"
"510563192","AE1-2"
"509665356","AE1-2"
"515108514","AE1-2"
"509164411","AE1-2"
"511348908","AE1-2"
"515263174","AE1-2"
"505441806","AE1-2"
"505323748","AE1-2"
"508922593","AE1-2"
"515303087","AE1-2"
"511075069","AE1-2"
"505524566","AE1-2"
"509684626","AE1-2"
"509874443","AE1-2"
"515358747","AE1-2"
"515445053","AE1-2"
"515461521","AE1-2"
"506349527","AE1-2"
"508676954","AE1-2"
"503651157","AE1-2"
"515464037","AE1-2"
"510725566","AE1-2"
"505584095","AE1-2"
"510614815","AE1-2"
"511552305","AE1-2"
"515528045","AE1-2"
"505615110","AE1-2"
"505726001","AE1-2"
"512237481","AE1-2"
"503835914","AE1-2"
"506373314","AE1-2"
"509268878","AE1-2"
"515949806","AE1-2"
"511739555","AE1-2"
"515923659","AE1-2"
"510832286","AE1-2"
"510795706","AE1-2"
"509922850","AE1-2"
"512509804","AE1-2"
"515985200","AE1-2"
"509300130","AE1-2"
"505773421","AE1-2"
"510972873","AE1-2"
"515992146","AE1-2"
"508953496","AE1-2"
"509016123","AE1-2"
"511025829","AE1-2"
"508631778","AE1-2"
"506356555","AE1-2"
"504284304","AE1-2"
"505918951","AE1-2"
"506386089","AE1-2"
"505960674","AE1-2"
"509229408","AE1-2"
"516578233","AE1-2"
"512654023","AE1-2"
"505962222","AE1-2"
"513272646","AE1-2"
"516756510","AE1-2"
"504387880","AE1-2"
"516875804","AE1-2"
"506010895","AE1-2"
"506446098","AE1-2"
"516939535","AE1-2"
"513020698","AE1-2"
"511529403","AE1-2"
"516949407","AE1-2"
"509397510","AE1-2"
"518289245","AE1-2"
"518326141","AE1-2"
"518484596","AE1-2"
"518519977","AE1-2"
